tmdb_id,imdb_id,title,release_date,belongs_to_collection,runtime,budget,revenue
8859,tt0242423,"Dude, Where's My Car?",2000-12-15,False,83,13000000,73180723
10559,tt0186151,Frequency,2000-04-28,False,118,31000000,68106245
2067,tt0183523,Mission to Mars,2000-03-10,False,114,90000000,60874615
889,tt0158622,The Flintstones in Viva Rock Vegas,2000-04-28,True,90,83000000,59468275
2787,tt0134847,Pitch Black,2000-02-18,True,108,23000000,53187659
7450,tt0120913,Titan A.E.,2000-06-16,False,94,75000000,36754634
8870,tt0199753,Red Planet,2000-11-10,False,106,80000000,33463969
5491,tt0185183,Battlefield Earth,2000-05-10,False,118,44000000,21400000
16110,tt0205461,Thomas and the Magic Railroad,2000-07-26,False,85,0,19748009
20455,tt0259974,Digimon: The Movie,2000-03-17,True,82,5500000,16600000
12211,tt0144964,Highlander: Endgame,2000-09-01,True,87,25000000,15843608
11849,tt0190374,Dungeons & Dragons,2000-12-08,True,107,35000000,15185241
10384,tt0134983,Supernova,2000-01-14,False,91,90000000,14828081
22230,tt0208196,Happy Accidents,2000-01-25,False,110,0,688510
331,tt0163025,Jurassic Park III,2001-07-18,True,92,93000000,368780809
869,tt0133152,Planet of the Apes,2001-07-25,False,119,100000000,362211740
644,tt0212720,A.I. Artificial Intelligence,2001-06-29,False,146,100000000,235926552
1903,tt0259711,Vanilla Sky,2001-12-10,False,136,68000000,203388341
10865,tt0230011,Atlantis: The Lost Empire,2001-06-02,True,95,120000000,186053725
9397,tt0251075,Evolution,2001-06-08,False,101,80000000,98376292
9606,tt0293416,Metropolis,2001-05-26,False,108,14500000,95789342
2114,tt0173840,Final Fantasy: The Spirits Within,2001-07-02,True,106,137000000,85131830
12589,tt0268397,Jimmy Neutron: Boy Genius,2001-12-21,False,83,25000000,80936232
10796,tt0267804,The One,2001-11-02,False,87,49000000,72700000
167,tt0272152,K-PAX,2001-10-22,False,120,48000000,50315140
19405,tt0265632,Recess: School's Out,2001-01-27,True,83,10000000,44460850
12600,tt0287635,Pokémon 4Ever: Celebi - Voice of the Forest,2001-07-06,True,75,0,28023563
11470,tt0211443,Jason X,2001-07-24,True,91,11000000,16951798
10016,tt0228333,Ghosts of Mars,2001-08-24,False,98,28000000,14010832
10881,tt0267287,Avalon,2001-01-20,False,107,8000000,8826094
23685,tt0166276,Monkeybone,2001-02-23,False,93,75000000,5409517
26446,tt0242150,Xchange,2001-01-19,False,105,100000,5000000
515208,tt1174122,Bibleman: Breaking The Bonds of Disobedience,2001-01-01,True,45,0,0
509944,tt0332240,The Matwix,2001-09-10,False,3,10000000,0
1894,tt0121765,Star Wars: Episode II - Attack of the Clones,2002-05-15,True,142,120000000,649398328
608,tt0120912,Men in Black II,2002-07-03,True,88,140000000,441818803
2675,tt0286106,Signs,2002-08-02,False,106,72000000,408247917
180,tt0181689,Minority Report,2002-06-20,False,145,102000000,358372926
818,tt0295178,Austin Powers in Goldmember,2002-07-26,True,94,63000000,296655431
9334,tt0277296,The Scorpion King,2002-04-18,True,92,60000000,165333180
2135,tt0268695,The Time Machine,2002-03-04,False,96,80000000,123729176
9016,tt0133240,Treasure Planet,2002-11-26,False,95,140000000,109578115
10771,tt0290095,The Tuxedo,2002-09-27,False,98,60000000,104391623
1576,tt0120804,Resident Evil,2002-03-15,True,100,33000000,102984862
170,tt0289043,28 Days Later,2002-10-31,True,113,5000000,82719885
201,tt0253754,Star Trek: Nemesis,2002-12-13,True,117,60000000,67312826
15028,tt0157472,Clockstoppers,2002-03-17,False,94,26000000,38793283
2103,tt0307479,Solaris,2002-11-27,False,99,47000000,30002758
9296,tt0258153,S1m0ne,2002-08-23,False,117,0,19576023
13768,tt0283084,Tuck Everlasting,2002-10-11,False,90,15000000,19158074
11692,tt0180052,The Adventures of Pluto Nash,2002-08-15,False,95,100000000,7103973
7299,tt0238380,Equilibrium,2002-12-06,False,107,20000000,5359645
379561,,Futurmania,2002-09-02,False,6,0,0
140585,tt0327622,Darth Vader's Psychic Hotline,2002-04-16,False,5,0,0
604,tt0234215,The Matrix Reloaded,2003-05-15,True,138,150000000,738599701
296,tt0181852,Terminator 3: Rise of the Machines,2003-07-02,True,109,200000000,435000000
605,tt0242653,The Matrix Revolutions,2003-11-05,True,129,150000000,424988211
36658,tt0290334,X2,2003-04-24,True,133,110000000,407711549
1927,tt0286716,Hulk,2003-06-19,False,138,137000000,245360480
12279,tt0338459,Spy Kids 3-D: Game Over,2003-07-25,True,84,38000000,197011982
8698,tt0311429,The League of Extraordinary Gentlemen,2003-07-11,False,110,78000000,179265204
9480,tt0287978,Daredevil,2003-02-14,False,103,78000000,179179718
10330,tt0322330,Freaky Friday,2003-08-03,False,97,26000000,110230332
9620,tt0338337,Paycheck,2003-12-25,False,119,60000000,95427515
9341,tt0298814,The Core,2003-03-28,False,136,60000000,74208267
9562,tt0300556,Timeline,2003-11-26,False,116,80000000,43935763
6171,tt0285531,Dreamcatcher,2003-03-21,False,136,68000000,75
310333,tt0378876,Those Who Walk in Darkness,2003-08-03,False,90,0,0
245716,tt0374519,Bad Movie Police: Case #1: Galaxy Of The Dinosaurs,2003-10-14,False,71,0,0
121133,,X-Men: The Legend of Wolverine,2003-04-29,False,79,0,0
11049,tt0368667,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003-05-28,False,68,4000000,0
59711,tt0383278,Comfort and Joy,2003-12-01,False,85,0,0
24362,tt0368575,The Second Renaissance Part II,2003-06-01,False,9,0,0
24358,tt0366179,The Second Renaissance Part I,2003-02-01,False,9,0,0
435,tt0319262,The Day After Tomorrow,2004-05-26,False,124,125000000,544272402
2048,tt0343818,"I, Robot",2004-07-15,False,115,120000000,347234916
395,tt0370263,AVP: Alien vs. Predator,2004-08-12,True,101,70000000,171183863
1577,tt0318627,Resident Evil: Apocalypse,2004-09-10,True,94,45000000,129394835
36648,tt0359013,Blade: Trinity,2004-12-08,True,123,65000000,128905366
10145,tt0356618,The Forgotten,2004-09-24,False,91,42000000,117575636
